#Americanisms
acknowledgement acknowledgment
acknowledgements acknowledgments
aeroplane airplane
aeroplanes airplanes
aesthetic esthetic
aesthetics esthetics
ageing aging
aluminium aluminum
amortise amortize
anaemia anemia
anaesthesia anesthesia
anaesthetic anesthetic
anaesthetics anesthetics
analogue analog
analyse analyze
analysed analyzed
analyses analyzes
annex annexe
apnoea apnea
apologise apologize
apologises apologizes
archeology archaeology
armour armor
armours armors
artefact artifact
artefacts artifacts
authorise authorize
authorised authorized
authorises authorizes
axe ax
balk baulk
banister bannister
banisters bannisters
behaviour behavior
behaviours behaviors
behove behoove
behoves behooves
blonde blond
burette buret
burnt burned
bussed bused
bussing busing
caesarean caesarian cesarean cesarian
caesareans caesarians cesareans cesarians
calibre caliber
calibres calibers
cancelled canceled
cancelling canceling
candour candor
capitalise capitalize
capitalised capitalized
capitalises capitalizes
carburettor carburetor
carburettors carburetors
catalogue catalog
catalogues catalogs
catalyse catalyze
centre center
centres centers
chequered checkered
chilli chili
chillis chilis
cigarette cigaret
cigarettes cigarets
clamour clamor
collectable collectible
collectables collectibles
colour color
coloured colored
colours colors
connection connexion
connections connexions
convenor convener
cosy cozy
counsellor counselor
criticise criticize
customize customise
defence defense
demeanour demeanor
dialled dialed
dialling dialing
dialogue dialog
diarrhoea diarrhea
dietician dietitian 
disc disk
dispatch despatch
doughnut donut
dreamt dreamed
emphasise emphasize
encyclopedia encyclopaedia
endeavour endeavor
enquiry inquiry
enrol enroll
favour favor
favoured favored
favouring favoring
favours favors
favourite favorite
fibre fiber
fibres fibers
finalize finalise
flautist flutist
flautists flutists
flavour flavor
flavoured flavored
flavours flavors
focused focussed
focusing focussing
foetus fetus
fuelling fueling
fulfil fulfill
fulfils fulfills
galvanise galvanize
gaol jail
gaoled jailed
gaols jails
gauge gage
gemmology gemology
generalise generalize
glamour glamor
gonorrhoea gonorrhea
grey gray
greyed grayed
greying graying
greys grays
gynaecology gynecology
haemorrhage hemorrhage
harbour harbor
harboured harbored
harbours harbors
harmonise harmonize
haulier hauler
homeopathy homoeopathy
honour honor
honoured honored
honours honors
humour humor
humoured humored
humouring humoring
humours humors
initialise initialize
instalment installment
jewellery jewelry
judgment judgement
kerb curb
kilometre kilometer
labelled labeled
labelling labeling
labour labor
laboured labored
labouring laboring
labours labors
lasagne lasagna
leant leaned
learnt learned
licence license
litre liter
litres liters
lustre luster
manoeuvre maneuver
marvellous marvelous
maximise maximize
meagre meager
metre meter
metres meters
modelled modeled
modelling modeling
mould mold
moustache mustache
mum mom 
neighbour neighbor
neighboured neighbored
neighbouring neighboring
neighbours neighbors
ochre ocher
odour odor
odours odors
oedema edema
oesophagus esophagus
oestrogen estrogen
offence offense
offences offenses
omelette omelet
optimise optimize
organisation organization
organise organize
orientate orient
orientated oriented
orthopaedic orthopedic
paedophile pedophile
parallelled paralleled
parallelling paralleling
paralyse paralyze
parlour parlor
peddler pedlar
penalisation penalization
penalise penalize
penalised penalized
penalises penalizes
pleaded pled
plough plow
pretence pretense
programme program
pyjamas pajamas
paediatrics pediatrics
rancour rancor
realise realize
realised realized
realises realizes
recognise recognize
rigour rigor
rumour rumor
rumoured rumored
rumours rumors
sabre saber
sabres sabers
saleable salable
saviour savior
saviours saviors
savour savor
savoured savored
savouring savoring
savours savors
sceptical skeptical
signalling signaling
sizable sizeable
skilful skillful
skilfully skillfully
skilfulness skillfulness
snorkelling snorkeling
speciality specialty
standardisation standardization
standardise standardize
standardises standardizes
sulphur sulfur
theatre theater
theatres theaters
theatregoer theatergoer
theatregoers theatergoers
titbit tidbit
titbits tidbits
towards toward
travelling traveling
tumour tumor
tumours tumors
valour valor
vapour vapor
vapours vapors
vigour vigor
visualise visualize
visualised visualized
visualises visualizes
wagon waggon
wagons waggons
woollen woolen
yogurt yoghurt yoghourt yogourt
yogurts yoghurts yoghourts yogourts

#Archaic_Obsolete
cloathing clothing
compear compare
formule formula
seize seaze
unbecoming unbeseeming
zombi zombie
hie hurry

#Archaic_Poetic
amongst among
ere before
hark listen
hath has
hither here
thee thou you
thy your
wherefore why
whilst while
wouldst would

#Synonyms
chalice goblet
completely utterly totally absolutely
maybe perhaps

#Spelling_Errors
abhorrent abhorent
abhorr abhor
abhorring abhoring
ability abiliy abillity abiltity abiltiy abilty
international internatinional
